category	id	term	display_term	id_hierarchy	ontology_link_exact	ontology_link_related	crossref_wikipedia	host_ncbi_taxonomy_id	crosslink_term	hex_colour	text colour	definition	comment
terrestrial	MICRONT:01000000	terrestrial	terrestrial		ENVO:00000446;ENVO:01001790		https://en.wikipedia.org/wiki/Terrestrial_ecosystem			#07450C	#f0f0f0	A habitat (biome or ecosystem) that is primarily situated on or influenced by a landmass.	
terrestrial	MICRONT:01010000	terrestrial:soil	soil	MICRONT:01000000	ENVO:00001998		https://en.wikipedia.org/wiki/Soil			#8c510a	#f0f0f0	A mixture of varying proportions of sand, silt, clay, organic material, minerals, (aequous) liquids and gases, supporting the life of macro- and microorganisms in terrestrial habitats	
terrestrial	MICRONT:01020100	terrestrial:arid	arid	MICRONT:01000000		ENVO:01000230;ENVO:01000179;ENVO:00000097	https://en.wikipedia.org/wiki/Aridity			#dfc27d	#252525	A dry terrestrial habitat, characterized by low annual precipitation and/or high evaporation. Includes in particular desert areas.	In MICRONT, this term is used as an additional qualifier for terrestrial habitats.
terrestrial	MICRONT:01020200	terrestrial:grassland	grassland	MICRONT:01000000		ENVO:00000106;ENVO:01000177;ENVO:01001206	https://en.wikipedia.org/wiki/Grassland			#5aae61	#252525	A terrestrial ecosystem dominated by grasses.	
terrestrial	MICRONT:01020201	terrestrial:grassland:pasture	pasture	MICRONT:01000000;MICRONT:01020201	ENVO:00000266		https://en.wikipedia.org/wiki/Pasture		MICRONT:04040000	#758a65	#f0f0f0	A grassland ecosystem primarly shaped by grazing livestock.	
terrestrial	MICRONT:01020300	terrestrial:cropland	cropland	MICRONT:01000000	ENVO:01001244	ENVO:01000892	https://en.wikipedia.org/wiki/Agricultural_land		MICRONT:04040100	#25591f	#f0f0f0	A terrestrial ecosystem shaped by the (agricultural) cultivation of crops, including mechanical impacts such as active tilling.	
terrestrial	MICRONT:01020400	terrestrial:forest	forest	MICRONT:01000000		ENVO:00000111;ENVO:01000174;ENVO:00000109	https://en.wikipedia.org/wiki/Forest			#4d9221	#f0f0f0	A terrestrial ecosystem dominated by a dense population of trees and/or shrubs.	includes woodland
terrestrial	MICRONT:01020500	terrestrial:tundra	tundra	MICRONT:01000000	ENVO:01001370	ENVO:01000180	https://en.wikipedia.org/wiki/Tundra			#728c74	#f0f0f0	A cold and dry terrestrial ecosystem with low average temperatures, low precipitation (and/or high evaporation), dominated by low-growing vegetation (i.e., trees are moslty absent).	
terrestrial	MICRONT:01020600	terrestrial:permafrost	permafrost	MICRONT:01000000		ENVO:00000134	https://en.wikipedia.org/wiki/Permafrost			#80cdc1	#252525	A terrestrial habitat (soil or rock) with temperatures constantly remaining below freezing point.	
terrestrial	MICRONT:01020700	terrestrial:wetland	wetland	MICRONT:01000000	ENVO:01001209		https://en.wikipedia.org/wiki/Wetland		MICRONT:02060100;MICRONT:02090000	#065465	#f0f0f0	A terrestrial, semi-aquatic ecosystem that is usually inundated in gorund or surface water, including e.g. marshes and swamps.	
terrestrial	MICRONT:01020701	terrestrial:wetland:salt marsh	salt marsh	MICRONT:01000000;MICRONT:01020700	ENVO:00000054		https://en.wikipedia.org/wiki/Salt_marsh		MICRONT:02060100;MICRONT:02090000;MICRONT:02040200;MICRONT:09010103	#9BB2BA	#252525	A wetland habitat with saline conditions, often located in coastal areas. 	
terrestrial	MICRONT:01020702	terrestrial:wetland:mangrove	mangrove	MICRONT:01000000;MICRONT:01020700	ENVO:01000181		https://en.wikipedia.org/wiki/Mangrove		MICRONT:02060100;MICRONT:02080100	#06768d	#f0f0f0	A coastal wetland habitat dominated by mangrove trees.	
